Pet_Name,Breed,Pet_Type,Age_Years,Weight_kg,Temperature_C,Heartbeat_BPM,Health_Status,Current_Behavior,Recommendation
Toby,Chihuahua,Dog,12.0,5.9,39.17,129.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Beagle,Dog,3.0,3.1,38.68,109.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Beagle,Dog,6.0,1.0,38.92,117.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Domestic Shorthair,Cat,3.0,3.5,39.71,159.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Tiger,Persian,Cat,10.0,6.6,38.23,126.0,Normal,Active And Happy,Continue Regular Monitoring
Lucy,Labrador Retriever,Dog,4.0,33.0,39.11,101.0,Normal,Active And Happy,Continue Regular Monitoring
Ruby,Poodle,Dog,11.0,18.5,39.85,161.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Milo,Sphynx,Cat,14.0,10.3,39.06,145.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Zoe,Domestic Shorthair,Cat,1.0,4.9,38.59,136.0,Normal,Active And Happy,Continue Regular Monitoring
Buddy,Golden Retriever,Dog,7.0,22.7,38.37,88.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Chihuahua,Dog,17.0,5.9,38.56,115.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Daisy,Sphynx,Cat,3.0,6.6,38.87,150.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Bulldog,Dog,4.0,15.7,38.92,102.0,Normal,Active And Happy,Continue Regular Monitoring
Bella,Sphynx,Cat,4.0,6.8,39.925,165.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Toby,Persian,Cat,3.0,5.0,38.4,126.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Domestic Shorthair,Cat,8.0,4.4,39.79,134.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Cooper,Labrador Retriever,Dog,1.0,26.5,38.53,104.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Beagle,Dog,6.0,7.1,39.03,122.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Bengal,Cat,17.0,16.8,38.75,130.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Bella,Persian,Cat,3.0,6.1,38.14,130.0,Normal,Active And Happy,Continue Regular Monitoring
Toby,Chihuahua,Dog,17.0,6.2,38.87,117.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Rocky,Chihuahua,Dog,9.0,4.4,38.91,135.0,Normal,Active And Happy,Continue Regular Monitoring
Luna,Bengal,Cat,3.0,17.6,39.925,149.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Lucy,Siamese,Cat,13.0,5.5,38.76,123.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Ruby,Persian,Cat,2.0,1.0,37.56500000000001,179.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Milo,Bulldog,Dog,10.0,13.1,38.93,130.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Poodle,Dog,6.0,19.4,38.65,100.0,Normal,Active And Happy,Continue Regular Monitoring
Simba,Domestic Shorthair,Cat,5.0,7.9,39.21,129.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Labrador Retriever,Dog,15.0,29.0,39.925,145.0,Critical,Very Lethargic Or Distressed,Immediate Veterinary Attention Needed
Buddy,Beagle,Dog,2.0,6.6,38.83,118.0,Normal,Active And Happy,Continue Regular Monitoring
Tiger,Siamese,Cat,6.0,2.4,38.5,138.0,Normal,Active And Happy,Continue Regular Monitoring
Coco,Persian,Cat,16.0,4.1,38.55,130.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Zoe,Persian,Cat,7.0,7.9,38.45,139.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Domestic Shorthair,Cat,2.0,6.3,38.55,130.0,Normal,Active And Happy,Continue Regular Monitoring
Oscar,Persian,Cat,6.0,5.7,38.07,124.0,Normal,Active And Happy,Continue Regular Monitoring
Cooper,Domestic Shorthair,Cat,6.0,6.6,39.13,148.0,Normal,Active And Happy,Continue Regular Monitoring
Milo,Chihuahua,Dog,14.0,4.8,38.8,116.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Luna,Maine Coon,Cat,1.0,36.7,38.26,113.0,Normal,Active And Happy,Continue Regular Monitoring
Molly,Sphynx,Cat,5.0,5.5,39.6,156.0,Normal,Active And Happy,Continue Regular Monitoring
Leo,Golden Retriever,Dog,3.0,26.3,37.56500000000001,168.0,Alert,Lethargic Or Restless,"Monitor Closely, Consult Vet If Persists"
Molly,Maine Coon,Cat,13.0,28.0,38.1,130.0,Normal,Calm And Relaxed,Continue Regular Monitoring
Toby,German Shepherd,Dog,3.0,40.6,38.68,99.0,Normal,Active And Happy,Continue Regular Monitoring
Molly,Bulldog,Dog,7.0,20.9,38.91,89.0,Normal,Active And Happy,Continue Regular Monitoring
Jack,Ragdoll,Cat,13.0,31.6,38.61,108.0,Normal,Calm And Relaxed,Continue Regular Monitoring
