Pet_Name,Breed,Pet_Type,Age_Years,Weight_kg,Temperature_C,Heartbeat_BPM,Health_Status,Current_Behavior,Recommendation
Toby,Chihuahua,Dog,12,5.9,39.17,129,Normal,Active and Happy,Continue regular monitoring
Lucy,Beagle,Dog,3,3.1,38.68,109,Normal,Active and Happy,Continue regular monitoring
Buddy,Beagle,Dog,6,1.0,38.92,117,Normal,Active and Happy,Continue regular monitoring
Toby,Domestic Shorthair,Cat,3,3.5,39.71,159,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Tiger,Persian,Cat,10,6.6,38.23,126,Normal,Active and Happy,Continue regular monitoring
Lucy,Labrador Retriever,Dog,4,33.0,39.11,101,Normal,Active and Happy,Continue regular monitoring
Ruby,Poodle,Dog,11,18.5,39.85,161,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Milo,Sphynx,Cat,14,10.3,39.06,145,Normal,Calm and Relaxed,Continue regular monitoring
Zoe,Domestic Shorthair,Cat,1,4.9,38.59,136,Normal,Active and Happy,Continue regular monitoring
Buddy,Golden Retriever,Dog,7,22.7,38.37,88,Normal,Active and Happy,Continue regular monitoring
Cooper,Chihuahua,Dog,17,5.9,38.56,115,Normal,Calm and Relaxed,Continue regular monitoring
Daisy,Sphynx,Cat,3,6.6,38.87,150,Normal,Active and Happy,Continue regular monitoring
Cooper,Bulldog,Dog,4,15.7,38.92,102,Normal,Active and Happy,Continue regular monitoring
Bella,Sphynx,Cat,4,6.8,40.09,165,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Toby,Persian,Cat,3,5.0,38.4,126,Normal,Active and Happy,Continue regular monitoring
Simba,Domestic Shorthair,Cat,8,4.4,39.79,134,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Cooper,Labrador Retriever,Dog,1,26.5,38.53,104,Normal,Active and Happy,Continue regular monitoring
Leo,Beagle,Dog,6,7.1,39.03,122,Normal,Active and Happy,Continue regular monitoring
Oscar,Bengal,Cat,17,16.8,38.75,130,Normal,Calm and Relaxed,Continue regular monitoring
Bella,Persian,Cat,3,6.1,38.14,130,Normal,Active and Happy,Continue regular monitoring
Toby,Chihuahua,Dog,17,6.2,38.87,117,Normal,Calm and Relaxed,Continue regular monitoring
Rocky,Chihuahua,Dog,9,4.4,38.91,135,Normal,Active and Happy,Continue regular monitoring
Luna,Bengal,Cat,3,17.6,39.99,149,Alert,Lethargic or Restless,"Monitor closely, consult vet if persists"
Lucy,Siamese,Cat,13,5.5,38.76,123,Normal,Calm and Relaxed,Continue regular monitoring
Ruby,Persian,Cat,2,1.0,36.86,179,Critical,Very Lethargic or Distressed,Immediate veterinary attention needed
Milo,Bulldog,Dog,10,13.1,38.93,130,Normal,Active and Happy,Continue regular monitoring
Tiger,Poodle,Dog,6,19.4,38.65,100,Normal,Active and Happy,Continue regular monitoring
Simba,Domestic Shorthair,Cat,5,7.9,39.21,129,Normal,Active and Happy,Continue regular monitoring
